t,ID,x,y,vx,vy
0.0000,0,1.115000,0.362000,0.000000,0.000000
0.0000,1,0.211000,0.235000,0.000000,0.000000
0.0000,2,0.239000,0.920000,0.000000,0.000000
0.0000,3,0.724000,0.929000,0.000000,0.000000
0.0000,4,0.463000,0.252000,0.000000,0.000000
0.0000,5,0.437000,0.709000,0.000000,0.000000
0.0000,6,0.757000,0.299000,0.000000,0.000000
0.0000,7,1.039000,0.875000,0.000000,0.000000
0.1000,0,1.120160,0.362000,0.099906,0.000000
0.1000,1,0.217882,0.235000,0.133208,0.000000
0.1000,2,0.245295,0.920000,0.121837,0.000000
0.1000,3,0.728048,0.929000,0.078356,0.000000
0.1000,4,0.468136,0.252000,0.099413,0.000000
0.1000,5,0.442349,0.709000,0.103535,0.000000
0.1000,6,0.761916,0.299000,0.095155,0.000000
0.1000,7,1.043740,0.875000,0.091661,0.000000
0.2000,0,1.133970,0.359066,0.173899,-0.056786
0.2000,1,0.245337,0.234279,0.406781,-0.013947
0.2000,2,0.268334,0.922298,0.331949,0.044471
0.2000,3,0.746333,0.927784,0.218836,-0.001022
0.2000,4,0.496661,0.251033,0.411069,-0.005917
0.2000,5,0.463172,0.707361,0.306177,-0.031723
0.2000,6,0.785230,0.298033,0.410230,-0.031525
0.2000,7,1.056530,0.878171,0.223747,0.038831
0.3000,0,1.159990,0.356762,0.341019,0.008525
0.3000,1,0.291496,0.241060,0.481871,0.131057
0.3000,2,0.315812,0.930361,0.542765,0.107644
0.3000,3,0.770207,0.930069,0.257239,0.045210
0.3000,4,0.542218,0.252683,0.514026,0.048665
0.3000,5,0.502032,0.708713,0.531223,0.062656
0.3000,6,0.830187,0.291920,0.500422,-0.086832
0.3000,7,1.080240,0.882065,0.249745,0.039018
0.4000,0,1.211760,0.358565,0.683032,0.026921
0.4000,1,0.344297,0.254176,0.571278,0.131845
0.4000,2,0.369957,0.937239,0.571707,0.038538
0.4000,3,0.816744,0.933600,0.630797,0.025336
0.4000,4,0.597637,0.257340,0.591845,0.045308
0.4000,5,0.555316,0.716708,0.561575,0.091976
0.4000,6,0.884569,0.283407,0.584227,-0.084824
0.4000,7,1.125920,0.885348,0.621178,0.025798
0.5000,0,1.296330,0.355769,0.997896,-0.079293
0.5000,1,0.416211,0.271243,0.865317,0.229564
0.5000,2,0.427118,0.944361,0.565221,0.085440
0.5000,3,0.878172,0.937979,0.599576,0.060886
0.5000,4,0.670872,0.258397,0.867407,0.002649
0.5000,5,0.610953,0.723582,0.557033,0.063505
0.5000,6,0.958584,0.273176,0.874583,-0.165691
0.5000,7,1.200740,0.887322,0.867129,0.014072
0.6000,0,1.399440,0.343863,1.062100,-0.156254
0.6000,1,0.501787,0.294919,0.847228,0.244569
0.6000,2,0.496689,0.954490,0.819441,0.120307
0.6000,3,0.950919,0.941975,0.847122,0.020380
0.6000,4,0.755935,0.260682,0.835453,0.041993
0.6000,5,0.678147,0.731013,0.777781,0.080232
0.6000,6,1.043450,0.257722,0.823510,-0.145434
0.6000,7,1.301260,0.888949,1.134320,0.018332
0.7000,0,1.497740,0.330081,0.909077,-0.120577
0.7000,1,0.565173,0.317057,0.435899,0.209792
0.7000,2,0.564020,0.963951,0.528783,0.069838
0.7000,3,1.029660,0.942950,0.731568,-0.000192
0.7000,4,0.820221,0.261616,0.452531,-0.010863
0.7000,5,0.765168,0.742099,0.964330,0.127433
0.7000,6,1.136730,0.243240,1.043750,-0.151864
0.7000,7,1.413300,0.891295,1.107300,0.028254
0.8000,0,1.555340,0.334944,0.261785,0.208165
0.8000,1,0.614297,0.334632,0.542970,0.144022
0.8000,2,0.616249,0.969111,0.516219,0.034529
